filename,width,height,class,xmin,ymin,xmax,ymax
over-cooked-egg-4-1200.jpg,1200,1200,Boiled_Eggs,23,105,1180,1190
egg(1).jpg,1300,1040,Boiled_Eggs,1,52,1270,966
egg(117).jpg,1300,957,Boiled_Eggs,204,236,742,693
egg(117).jpg,1300,957,Boiled_Eggs,593,136,1140,600
hard-boiled-eggjpg.jpg,1200,795,Boiled_Eggs,85,143,1125,688
29_tn-nov-Sarah-Benjamin-Nasi-Lemak.jpg,740,416,Boiled_Eggs,329,119,539,313
13_maxresdefault.jpg,1280,720,Boiled_Eggs,246,481,637,677
egg(115).jpg,420,315,Boiled_Eggs,16,56,402,258
2017-04-11-Pressure-Cooker-Hardboiled-Eggs-17.jpg,1600,2240,Boiled_Eggs,192,841,692,1362
2017-04-11-Pressure-Cooker-Hardboiled-Eggs-17.jpg,1600,2240,Boiled_Eggs,554,469,1078,1041
2017-04-11-Pressure-Cooker-Hardboiled-Eggs-17.jpg,1600,2240,Boiled_Eggs,880,760,1436,1400
2017-04-11-Pressure-Cooker-Hardboiled-Eggs-17.jpg,1600,2240,Boiled_Eggs,568,1223,1059,1832
5b9e7dd7250000320036e2ab.jpeg,628,314,Boiled_Eggs,21,3,241,246
5b9e7dd7250000320036e2ab.jpeg,628,314,Boiled_Eggs,245,67,485,296
124_Nasi-Lemak.jpg,5184,3456,Boiled_Eggs,403,1892,2514,3456
25_NasiLemakBungkus-1.jpg,680,544,Boiled_Eggs,49,188,211,398
25_NasiLemakBungkus-1.jpg,680,544,Boiled_Eggs,268,4,461,137
451_nl_nasi_lemak.jpg,612,859,Boiled_Eggs,98,287,238,410
egg(102).jpg,1026,770,Boiled_Eggs,346,434,831,770
egg(102).jpg,1026,770,Boiled_Eggs,1,208,337,604
egg(102).jpg,1026,770,Boiled_Eggs,392,105,865,410
186_2012-11-07-23-49-50.jpg,1280,960,Boiled_Eggs,623,96,1083,349
20_nasi-lemak.jpg,800,533,Boiled_Eggs,117,113,323,356
IMG_5873.jpg,2048,2048,Boiled_Eggs,8,716,1991,1948
268_HAWKER-FOOD-1.jpg,320,240,Boiled_Eggs,178,1,288,91
116_Pholio-Cafe-Nasi-Lemak-Kukus-1.jpg,1030,689,Boiled_Eggs,682,192,938,348
peeled-eggs0.jpg,680,1020,Boiled_Eggs,210,500,572,781
peeled-eggs0.jpg,680,1020,Boiled_Eggs,366,210,673,427
egg(119).jpg,1300,1037,Boiled_Eggs,102,136,1183,859
egg(105).jpg,640,446,Boiled_Eggs,31,82,218,337
egg(105).jpg,640,446,Boiled_Eggs,241,73,430,350
egg(105).jpg,640,446,Boiled_Eggs,438,71,627,345
egg(101).jpg,600,400,Boiled_Eggs,220,60,417,264
egg(101).jpg,600,400,Boiled_Eggs,369,46,556,173
instant-pot-hard-boiled-eggs-2.jpg,1500,842,Boiled_Eggs,462,176,1199,697
egg(120).jpg,1300,1300,Boiled_Eggs,1,286,1261,1010
egg(104).jpg,1200,630,Boiled_Eggs,244,1,906,561
maxresdefault7.jpg,1280,720,Boiled_Eggs,223,103,1079,625
Hard-Boiled-Eggs-006-2.jpg,800,1000,Boiled_Eggs,148,473,639,782
egg(118).jpg,1300,1196,Boiled_Eggs,48,475,542,1141
egg(118).jpg,1300,1196,Boiled_Eggs,414,558,1042,1111
egg(118).jpg,1300,1196,Boiled_Eggs,312,69,746,592
73_lemak7.jpg,848,565,Boiled_Eggs,19,98,275,349
How-to-Make-Perfect-Hard-Boiled-Eggs-Pressure-Cooker-The-Creative-Bite-1-copy.jpg,1000,1510,Boiled_Eggs,104,540,1000,1417
