filename,width,height,class,xmin,ymin,xmax,ymax
301290.jpg,577,433,Nasi_Goreng,57,32,474,395
299274.jpg,500,500,Nasi_Goreng,34,22,465,481
297096.jpg,433,577,Nasi_Goreng,12,33,416,512
292304.jpg,500,500,Nasi_Goreng,14,35,492,429
296698.jpg,500,500,Nasi_Goreng,45,39,489,472
235003.jpg,610,409,Nasi_Goreng,11,59,587,390
298280.jpg,500,500,Nasi_Goreng,15,14,478,479
288264.jpg,500,500,Nasi_Goreng,17,22,467,447
297537.jpg,500,500,Nasi_Goreng,1,41,496,481
297054.jpg,500,500,Nasi_Goreng,12,14,473,475
292163.jpg,500,500,Nasi_Goreng,17,41,473,481
233292.jpg,572,437,Nasi_Goreng,48,49,498,380
259959.jpg,577,433,Nasi_Goreng,21,18,551,425
295982.jpg,500,500,Nasi_Goreng,75,35,479,427
290948.jpg,500,500,Nasi_Goreng,29,43,473,475
270902.jpg,613,407,Nasi_Goreng,24,33,593,383
289334.jpg,500,500,Nasi_Goreng,18,25,476,464
236428.jpg,577,433,Nasi_Goreng,27,14,562,407
292809.jpg,500,500,Nasi_Goreng,28,22,465,429
299247.jpg,500,500,Nasi_Goreng,9,25,475,466
285913.jpg,500,500,Nasi_Goreng,15,18,481,483
270901.jpg,500,375,Nasi_Goreng,26,34,475,365
294179.jpg,500,500,Nasi_Goreng,26,43,485,481
298846.jpg,577,433,Nasi_Goreng,30,7,549,414
296861.jpg,500,500,Nasi_Goreng,73,70,448,472
298227.jpg,500,500,Nasi_Goreng,15,33,482,485
293467.jpg,578,432,Nasi_Goreng,54,52,485,379
287185.jpg,500,500,Nasi_Goreng,15,22,460,477
270880.jpg,500,375,Nasi_Goreng,18,9,459,365
292027.jpg,500,500,Nasi_Goreng,31,39,473,470
296470.jpg,500,500,Nasi_Goreng,25,22,468,468
270874.jpg,612,408,Nasi_Goreng,45,18,533,375
292178.jpg,500,500,Nasi_Goreng,18,22,475,475
293237.jpg,500,500,Nasi_Goreng,6,41,481,479
292746.jpg,500,500,Nasi_Goreng,21,29,481,454
296496.jpg,500,500,Nasi_Goreng,18,12,496,443
233235.jpg,618,404,Nasi_Goreng,44,11,592,370
290042.jpg,500,500,Nasi_Goreng,12,22,471,477
298218.jpg,500,500,Nasi_Goreng,21,31,479,472
292963.jpg,500,500,Nasi_Goreng,25,4,481,489
292436.jpg,500,500,Nasi_Goreng,23,29,482,495
300750.jpg,500,500,Nasi_Goreng,20,72,460,456
299612.jpg,577,433,Nasi_Goreng,75,34,483,364
299037.jpg,500,500,Nasi_Goreng,9,16,478,452
296098.jpg,500,500,Nasi_Goreng,23,33,484,477
233700.jpg,577,433,Nasi_Goreng,36,12,542,413
292103.jpg,500,500,Nasi_Goreng,15,16,473,458
294243.jpg,500,500,Nasi_Goreng,29,100,465,431
291581.jpg,500,500,Nasi_Goreng,10,41,407,481
297710.jpg,578,432,Nasi_Goreng,68,61,527,424
301622.jpg,577,433,Nasi_Goreng,27,25,571,413
299086.jpg,500,500,Nasi_Goreng,42,45,489,452
290846.jpg,500,500,Nasi_Goreng,32,64,448,462
299810.jpg,577,433,Nasi_Goreng,27,18,560,407
235370.jpg,500,375,Nasi_Goreng,62,29,465,360
291860.jpg,500,500,Nasi_Goreng,26,18,482,462
289903.jpg,578,432,Nasi_Goreng,30,28,536,396
288448.jpg,500,500,Nasi_Goreng,25,45,460,416
270876.jpg,500,375,Nasi_Goreng,6,6,482,360
300451.jpg,500,500,Nasi_Goreng,23,43,432,472
298682.jpg,433,577,Nasi_Goreng,9,52,422,528
299566.jpg,577,433,Nasi_Goreng,10,12,548,422
285430.jpg,433,577,Nasi_Goreng,17,24,409,538
288527.jpg,500,500,Nasi_Goreng,7,18,482,475
294924.jpg,577,433,Nasi_Goreng,36,19,548,382
292249.jpg,500,500,Nasi_Goreng,42,25,476,479
231630.jpg,612,408,Nasi_Goreng,40,11,560,396
293476.jpg,500,500,Nasi_Goreng,29,41,471,472
286688.jpg,577,433,Nasi_Goreng,77,19,551,413
292769.jpg,500,500,Nasi_Goreng,29,35,468,468
295259.jpg,500,500,Nasi_Goreng,7,6,490,495
231609.jpg,577,433,Nasi_Goreng,19,32,533,407
288397.jpg,500,500,Nasi_Goreng,32,62,465,468
231721.jpg,587,425,Nasi_Goreng,47,53,522,394
291508.jpg,500,500,Nasi_Goreng,23,56,476,479
284699.jpg,375,500,Nasi_Goreng,8,29,358,477
290940.jpg,500,500,Nasi_Goreng,23,10,479,479
286325.jpg,500,500,Nasi_Goreng,31,58,468,462
299952.jpg,433,577,Nasi_Goreng,23,31,409,533
297270.jpg,433,577,Nasi_Goreng,14,52,416,562
289414.jpg,500,500,Nasi_Goreng,21,45,473,414
289467.jpg,500,500,Nasi_Goreng,43,35,471,466
301022.jpg,500,500,Nasi_Goreng,6,27,489,481
292731.jpg,500,500,Nasi_Goreng,4,6,496,489
270891.jpg,500,375,Nasi_Goreng,9,12,492,364
270889.jpg,577,433,Nasi_Goreng,16,19,555,411
295770.jpg,500,500,Nasi_Goreng,18,22,460,495
299560.jpg,577,433,Nasi_Goreng,54,21,533,393
